mkdir: 313_0.01_fixcache: File exists
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 1, ' objective : ', 1100468.5799999996)
('iter : ', 2, ' objective : ', 1100467.78)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 3, ' objective : ', 1100468.6399999999)
('iter : ', 1, ' objective : ', 1100468.8800000001)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 4, ' objective : ', 1100472.8399999999)
('iter : ', 2, ' objective : ', 1100464.0800000005)
('iter : ', 1, ' objective : ', 1100471.0499999998)
('iter : ', 5, ' objective : ', 1100472.7199999997)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 3, ' objective : ', 1100465.7200000011)
('iter : ', 2, ' objective : ', 1100471.1499999994)
('iter : ', 1, ' objective : ', 1100469.97)
('iter : ', 6, ' objective : ', 1100471.78)
('iter : ', 4, ' objective : ', 1100464.8400000012)
('iter : ', 3, ' objective : ', 1100471.2619999987)
('iter : ', 2, ' objective : ', 1100469.1300000006)
('iter : ', 7, ' objective : ', 1100473.3199999994)
('iter : ', 5, ' objective : ', 1100462.4400000013)
('iter : ', 4, ' objective : ', 1100471.2779999985)
('iter : ', 3, ' objective : ', 1100468.0200000005)
('iter : ', 8, ' objective : ', 1100473.7799999996)
('iter : ', 6, ' objective : ', 1100473.2800000007)
('iter : ', 5, ' objective : ', 1100471.0899999992)
('iter : ', 4, ' objective : ', 1100467.3900000008)
('iter : ', 9, ' objective : ', 1100475.2799999993)
('iter : ', 7, ' objective : ', 1100470.3999999999)
('iter : ', 6, ' objective : ', 1100470.9019999986)
('iter : ', 5, ' objective : ', 1100467.1300000008)
('iter : ', 8, ' objective : ', 1100466.4400000006)
('iter : ', 7, ' objective : ', 1100470.9179999984)
('iter : ', 6, ' objective : ', 1100466.0200000009)
('iter : ', 10, ' objective : ', 1100476.9599999997)
('iter : ', 9, ' objective : ', 1100469.3200000005)
('iter : ', 8, ' objective : ', 1100470.8759999985)
('iter : ', 7, ' objective : ', 1100470.149999999)
('iter : ', 9, ' objective : ', 1100471.1039999987)
('iter : ', 8, ' objective : ', 1100467.8700000006)
('iter : ', 20, ' objective : ', 1100475.9600000007)
('iter : ', 10, ' objective : ', 1100463.6000000006)
('iter : ', 9, ' objective : ', 1100467.7900000007)
('iter : ', 10, ' objective : ', 1100471.0939999991)
('iter : ', 30, ' objective : ', 1100471.5600000003)
('iter : ', 10, ' objective : ', 1100468.9300000011)
('iter : ', 20, ' objective : ', 1100474.6799999992)
('iter : ', 40, ' objective : ', 1100469.1199999969)
('iter : ', 30, ' objective : ', 1100456.0400000031)
('iter : ', 50, ' objective : ', 1100458.8799999948)
('iter : ', 20, ' objective : ', 1100470.5580000011)
('iter : ', 40, ' objective : ', 1100447.080000004)
('iter : ', 20, ' objective : ', 1100465.1700000025)
('iter : ', 60, ' objective : ', 1100447.5399999944)
('iter : ', 30, ' objective : ', 1100470.9360000032)
('iter : ', 50, ' objective : ', 1100440.7200000039)
('iter : ', 30, ' objective : ', 1100461.310000008)
('iter : ', 70, ' objective : ', 1100441.6999999955)
('iter : ', 40, ' objective : ', 1100470.4100000053)
('iter : ', 60, ' objective : ', 1100427.4800000053)
('iter : ', 40, ' objective : ', 1100461.970000007)
('iter : ', 50, ' objective : ', 1100469.9640000055)
('iter : ', 80, ' objective : ', 1100438.799999994)
('iter : ', 70, ' objective : ', 1100422.8400000075)
('iter : ', 50, ' objective : ', 1100452.4000000055)
('iter : ', 60, ' objective : ', 1100470.0039999988)
('iter : ', 90, ' objective : ', 1100429.699999992)
('iter : ', 80, ' objective : ', 1100392.3200000087)
